Rec #,Establishment ID,Inspection ID,Establishment Name,Establishment Type,Establishment Address,Latitude,Longitude,Establishment Status,Min. Inspections Per Year,Infraction Details,Inspection Date,Severity,Action,Outcome,Amount Fined
1,10586847,105094233,A & W,Restaurant,650 1/2 QUEEN ST W,43.64684,-79.40643,Pass,2,,01/03/2023,,,,
2,10484226,105094284,AMIGOS DA DUNDAS SPORTS BAR,Cocktail Bar / Beverage Room,1570 DUNDAS ST W,43.6498,-79.43427,Pass,2,FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ,01/03/2023,S - Significant,Corrected During Inspection,,
3,10484226,105094284,AMIGOS DA DUNDAS SPORTS BAR,Cocktail Bar / Beverage Room,1570 DUNDAS ST W,43.6498,-79.43427,Pass,2,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),01/03/2023,S - Significant,Corrected During Inspection,,
4,10381232,105093590,BOBBETTE & BELLE INC.,Bakery,1121 QUEEN ST E,43.66202,-79.3348,Pass,3,,01/03/2023,,,,
5,10757156,105091093,BOM DIA CAFE & BAKERY,Food Take Out,"1205 QUEEN ST W, Unit-3",43.64188,-79.42892,Pass,2,SANITIZE UTENSILS USING AGENT FOR WHICH TEST REAGENT NOT READILY AVAILABLE - SEC. 19(E)(III) ,01/03/2023,S - Significant,Corrected During Inspection,,
6,10757156,105091093,BOM DIA CAFE & BAKERY,Food Take Out,"1205 QUEEN ST W, Unit-3",43.64188,-79.42892,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,01/03/2023,M - Minor,Notice to Comply,,
7,10771263,105094318,BROCKTON VILLAGE BAKERY,Restaurant,1566 DUNDAS ST W,43.64992,-79.43412,Pass,2,FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ,01/03/2023,S - Significant,Corrected During Inspection,,
8,10771263,105094318,BROCKTON VILLAGE BAKERY,Restaurant,1566 DUNDAS ST W,43.64992,-79.43412,Pass,2,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),01/03/2023,S - Significant,Corrected During Inspection,,
9,10771263,105094318,BROCKTON VILLAGE BAKERY,Restaurant,1566 DUNDAS ST W,43.64992,-79.43412,Pass,2,FAIL TO ENSURE FOOD HANDLER IN FOOD PREMISE PROTECTS AGAINST CONTAMINATION BY HAIR - SEC.  33(1)(D),01/03/2023,M - Minor,Corrected During Inspection,,
10,10624696,105093839,BROTHER'S CONVENIENCE,Food Store (Convenience/Variety),"2231 VICTORIA PARK AVE, Unit-1",43.76187,-79.31662,Pass,1,,01/03/2023,,,,
11,10662559,105094227,CAFE23,Restaurant,728 QUEEN ST W,43.64621,-79.40937,Pass,2,FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ,01/03/2023,S - Significant,Corrected During Inspection,,
12,10662559,105094227,CAFE23,Restaurant,728 QUEEN ST W,43.64621,-79.40937,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,01/03/2023,M - Minor,Notice to Comply,,
13,10662559,105094227,CAFE23,Restaurant,728 QUEEN ST W,43.64621,-79.40937,Pass,2,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,01/03/2023,NA - Not Applicable,Notice to Comply,,
14,10723242,105093039,CCSAI FOOD BANK,Food Bank,941 PROGRESS AVE,43.78527,-79.22703,Pass,1,,01/03/2023,,,,
15,10767534,105094369,CHARTWELL SCARLETT HEIGHTS RETIREMENT RESIDENCE,Retirement Homes(Licensed),4005 EGLINTON AVE W,43.68268,-79.51974,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/03/2023,M - Minor,Notice to Comply,,
16,10711662,105094468,CHECK-IN CORNER,Food Take Out,3930 KEELE ST,43.76291,-79.49126,Pass,2,,01/03/2023,,,,
17,10427172,105094554,CHIPOTLE MEXICAN GRILL,Food Court Vendor,"3401 DUFFERIN ST, Unit-FC04",43.72608,-79.45147,Pass,3,,01/03/2023,,,,
18,10727418,105094209,CHUNGCHUN RICE DOG,Food Take Out,"3250 MIDLAND AVE, Unit-G112",43.80514,-79.28761,Pass,2,Fail to protect food from contamination or adulteration - Sec. 26(1) ,01/03/2023,C - Crucial,Notice to Comply,,
19,10727418,105094209,CHUNGCHUN RICE DOG,Food Take Out,"3250 MIDLAND AVE, Unit-G112",43.80514,-79.28761,Pass,2,Fail to provide handwashing stations with adequate supplies (hot and cold water) - Sec. 7(3)(c),01/03/2023,S - Significant,Notice to Comply,,
20,9005593,105094547,"CHURCH OF ST. JUDE, WEXFORD - FOOD BANK",Food Depot,10 HOWARTH AVE,43.73873,-79.30597,Pass,1,,01/03/2023,,,,
21,10550966,105094666,COBS BREAD,Bake Shop,156 DANFORTH AVE,43.6767,-79.35751,Pass,2,,01/03/2023,,,,
22,10757653,105094338,COCO'S,Restaurant,668 COLLEGE ST,43.65529,-79.41667,Pass,2,,01/03/2023,,,,
23,9003710,105093327,CRAIGLEE NURSING HOME,Nursing Home / Home for the Aged,102 CRAIGLEE DR,43.70691,-79.25307,Pass,3,,01/03/2023,,,,
24,10446905,105094576,Charcoal Kebab House,Restaurant,3256 LAWRENCE AVE E,43.75731,-79.2386,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/03/2023,M - Minor,Notice to Comply,,
25,10446905,105094576,Charcoal Kebab House,Restaurant,3256 LAWRENCE AVE E,43.75731,-79.2386,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN WALLS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/03/2023,M - Minor,Notice to Comply,,
